"participant_id";"entry_no";"top_tracks_isrc";"top_tracks_title";"top_tracks_spotify_id";"top_tracks_artist";"top_tracks_cover";"top_tracks_label";"top_tracks_album_name";"top_tracks_release_date";"top_tracks_album_type";"top_tracks_duration_ms";"top_tracks_popularity";"top_tracks_acousticness";"top_tracks_danceability";"top_tracks_energy";"top_tracks_key";"top_tracks_loudness";"top_tracks_speechiness";"top_tracks_instrumentalness";"top_tracks_liveness";"top_tracks_valence";"top_tracks_tempo";"last_tracks_played_at";"last_tracks_context_type";"last_tracks_context_uri";"top_artists_type";"top_artists_popularity";"top_artists_followers";"top_artists_genres";"top_artists_cover";"top_artists_name";"top_artists_spotify_id"
"56";"34";"DEBT92200176";"Auf der Jagd nach Leben";"1nEE9L3BjweHc5sUsIP2MC";"Hinterlandgang";"https://i.scdn.co/image/ab67616d0000b273a9ac65de62cf833707e54d3e";"Audiolith";"Maschendraht";"2022-10-21";"ALBUM";"185986";"17";"0.355";"0.588";"0.499";"8";"-10.163";"0.452";"0.000142";"0.124";"0.498";"72.905";"";"";"";"artist";"74";"0";"heartland rock, mellow gold, permanent wave, rock, singer-songwriter";"https://i.scdn.co/image/ab6761610000e5ebf7cac48c6b587b927ba73f4e";"Bruce Springsteen";"3eqjTLE0HfPfh78zjh6TqT"
"56";"35";"DEUM72000446";"Bounce";"2wbwHJ0ccDxOIiCb5puNdR";"badmómzjay";"https://i.scdn.co/image/ab67616d0000b27328b979289533e2435e01c30f";"Vertigo Berlin";"Bounce";"2020-02-28";"SINGLE";"172769";"40";"0.148";"0.757";"0.471";"2";"-6.399";"0.269";"0";"0.146";"0.708";"141.892";"";"";"";"artist";"34";"0";"german boom bap, german jazz rap";"https://i.scdn.co/image/ab6761610000e5eb6ad5af79210662218c9fcaf8";"elo";"5tH5C6RgU17XOg1xuYIvGM"
"56";"36";"DEKF22201343";"Jedes Mal";"5TqEPwicknBShQ2QwgPCBI";"9inebro,Lugatti & 9ine";"https://i.scdn.co/image/ab67616d0000b273a49941b167b2efecbf58e814";"GOLD LEAGUE/9inebro";"Jedes Mal";"2023-01-20";"SINGLE";"170057";"46";"0.121";"0.624";"0.866";"4";"-5.994";"0.203";"0.147";"0.148";"0.23";"175.02";"";"";"";"artist";"40";"0";"bristol electronic, chillstep, future garage, substep";"https://i.scdn.co/image/ab6761610000e5eb92e1074eead7b60b47dff1f6";"Phaeleh";"5NkUpXWkeXspvu7iQQOHhP"
"56";"37";"DEVY82200049";"Unsichtbar";"4tky5yp1QNjC2r0oDPNFIz";"PTK,Thomas Kundt";"https://i.scdn.co/image/ab67616d0000b273ee8728cc4f7356e5b33769c2";"BombenProdukt";"Unsichtbar";"2022-12-23";"SINGLE";"171136";"13";"0.206";"0.659";"0.547";"1";"-9.12";"0.873";"0";"0.325";"0.381";"175.74";"";"";"";"artist";"29";"0";"uk alternative pop";"https://i.scdn.co/image/ab6761610000e5ebdd4cbbf73765f62b7f4a6a15";"Ben Khan";"2YwPMfgNYeDjbkGI7PwZ3K"
"56";"38";"DEZC62292781";"Sense";"098hXW07bmarLwLM98IFot";"Rokko Weissensee,Blend,Botanikker,Plusmacher,DJ ILL O.";"https://i.scdn.co/image/ab67616d0000b2736b7cb11a54bbe4f3f75693ff";"recordJet";"Was dich umbringt, tötet dich";"2022-10-07";"ALBUM";"298136";"27";"0.574";"0.587";"0.779";"7";"-9.245";"0.849";"0";"0.167";"0.551";"160.478";"";"";"";"artist";"81";"0";"r&b, soul";"https://i.scdn.co/image/ab6761610000e5eb0e08ea2c4d6789fbf5cbe0aa";"Michael Jackson";"3fMbdgg4jU18AjLCKBhRSm"
"56";"39";"DEUM72108498";"On Fleek";"1ksntaLC9RqQmlJe5qb9bX";"Nura";"https://i.scdn.co/image/ab67616d0000b2737d5d23f6ba26a7f3e54cc94c";"Vertigo Berlin";"Auf der Suche";"2021-08-20";"ALBUM";"127293";"40";"0.12";"0.967";"0.681";"0";"-6.79";"0.139";"0";"0.0389";"0.787";"108.041";"";"";"";"artist";"48";"0";"chillhop";"https://i.scdn.co/image/ab6761610000e5eba376c39360fda0b46f35d5a8";"Poldoore";"3ph6BKBPsjP7Vhtd1IXhkc"
"56";"40";"DECE72102423";"Ich mag";"0ujSvX6TRzEH84VbWNsDh8";"badmómzjay,Takt32";"https://i.scdn.co/image/ab67616d0000b273671ec593c527c96eb6ad7e93";"Vertigo Berlin";"badmómz.";"2021-11-25";"ALBUM";"178150";"42";"0.0845";"0.805";"0.526";"4";"-6.675";"0.114";"0.00000601";"0.342";"0.514";"162.042";"";"";"";"artist";"42";"0";"downtempo, electronica";"https://i.scdn.co/image/ab6761610000e5eb15c427ce36764b842c9f9893";"DARKSIDE";"2933wDUojoQmvqSdTAE5NB"
"56";"41";"DENF61900110";"Waveboy";"2wY7LvJjvQ9cJEndk0AbY8";"Mia Morgan";"https://i.scdn.co/image/ab67616d0000b2733748b3f66a338636f7299db5";"Eklat Tonträger GmbH";"Gruftpop";"2019-07-05";"SINGLE";"207444";"38";"0.128";"0.704";"0.904";"11";"-4.854";"0.103";"0";"0.153";"0.705";"95.981";"";"";"";"artist";"59";"0";"jazz cover, swing";"https://i.scdn.co/image/ab6761610000e5ebf3407105482b4bffb7a641b2";"Scott Bradlee's Postmodern Jukebox";"5HYNPEO2NNBONQkp3Mvwvc"
"56";"42";"DECE72102427";"Sterne unterm Dach";"6ZKazOSqSZPdehgn4UYxBz";"badmómzjay";"https://i.scdn.co/image/ab67616d0000b273671ec593c527c96eb6ad7e93";"Vertigo Berlin";"badmómz.";"2021-11-25";"ALBUM";"185186";"58";"0.312";"0.768";"0.497";"10";"-8.548";"0.296";"0";"0.148";"0.173";"91.081";"";"";"";"artist";"63";"0";"german hip hop";"https://i.scdn.co/image/ab6761610000e5ebc8f77ba064a911faaab6afd2";"K.I.Z";"0bMt8SJlp0gFRUufzifS05"
"56";"43";"USAR10301288";"Trick Me";"3aImJnJlAgcE7bJ1NxthGt";"Kelis";"https://i.scdn.co/image/ab67616d0000b273e928de086eef7d3491b4390b";"Virgin Records";"Tasty";"2003-12-05";"ALBUM";"206106";"67";"0.0369";"0.97";"0.72";"1";"-3.347";"0.149";"0.000389";"0.326";"0.962";"107.17";"";"";"";"artist";"66";"0";"dance pop, dance rock, permanent wave, pop rock, rock";"https://i.scdn.co/image/f7e39e0ca7a4ba897150247190fb27b6ae6e0318";"No Doubt";"0cQbJU1aAzvbEmTuljWLlF"
